	id	tweet	offensive_probability	predictions
0	15923	#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL	0.17656615384311772	NOT
1	27014	#ConstitutionDay is revered by Conservatives, hated by Progressives/Socialist/Democrats that want to change it.	0.15884358457250514	NOT
2	30530	#FOXNews #NRA #MAGA #POTUS #TRUMP #2ndAmendment #RNC #USMC #veterans @USER    @USER @USER @USER @USER   #fakereporting #THESWAMP #dnc #liberals @USER @USER #fakeoutrage @USER  First, it reduces the ca URL	0.16988285782818824	NOT
3	13876	#Watching #Boomer getting the news that she is still up for parole always makes me smile. #Wentworth Finale...@USER is such a treasure. URL	0.13159745860258523	NOT
4	60133	#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL	0.19069654400351144	NOT
5	83681	. . . What the fuck did he do this time?	0.7177421116520113	OFF
6	96874	#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑	0.18014444532721577	NOT
7	65507	@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?	0.17725154184493647	NOT
8	78910	5 Tips to Enhance Audience Connection on Facebook URL @USER #socialmedia #smm URL	0.11545740785011574	NOT
9	46363	#BiggBossTamil janani won the task. She is going to first final list👏👏👏👏	0.16608886158701663	NOT
10	68123	#Conservatives - the party of low taxation 😂 #Tories #Tory URL	0.13794742818461417	NOT
11	22452	𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +	0.14481185171805475	NOT
12	15565	#ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!	0.2437584634809574	NOT
13	64376	#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL	0.04909140751133228	NOT
14	12588	@USER Nigga ware da hits at	0.5057782480017542	OFF
15	34263	#StopKavanaugh he is liar like the rest of the #GOP URL	0.4154795411167286	NOT
16	65773	#Dayspromo week of September 17th #days #dool  A coma does things to a gal . Sami: You are going to be ok. Hattie: No thanks to you.  Get her out of here. Before she finishes me off.  Hattie pretends to be Marlena.  The look on Kayla face is priceless. URL	0.08194491128728944	NOT
17	95457	#BiggBossTelugu2 Let’s all include @USER in all our tweets...he is the business head of Star Maa network..don’t know if he knows about biggboss team and host hurting audience emotions  #BiggBossTelugu2	0.1863445992762234	NOT
18	24930	"#Dallas#Policewoman kills neighbor in HIS own apartment? WHAT went wrong?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family?"" URL"	0.19397080313759762	NOT
19	15938	Always smack URL	0.27096150437694155	NOT
20	45712	#BREAKING: After a week-long trial, a Linn County jury convicted Gregory Davis of First-Degree Murder in connection with the Carrie Davis homicide that took place almost a year ago. URL URL	0.08787838926223361	NOT
21	70840	#Kavanaugh so a wild claim from 36 years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org. that supports BLM Antifa etc. Unbeievable!	0.08680734463641002	NOT
22	53563	#kznlt Enjouji really is the prototype of my character brand, he is nothing but things that I love all rolled into one horrible package and fed directly into baby me's subconscious.	0.15527512245966615	NOT
23	59432	#SilsilaBadallteRishtonKa tag is filled with appreciation of @USER only....   Never watched this serial but I always wanted appreciation for Aditi... She is underrated since starting of the show... She is worth of all this appreciation.. 👏👏👏	0.18179349886462057	NOT
24	21454	#Beto #BetoForSenate #BetoORourke #BetoforTX  Willie Nelson laughs at conservatives who are upset with him. URL	0.16222608060457316	NOT
25	83155	#HIAC  Damn Matt Hardy and Randy Orton put on one hell in a cell match!! Woooo!!! I hope he is okay!!	0.21317935414110342	NOT
26	69576	@USER School shootings aren't controversial. Wanting gun control is.	0.12921584893190224	NOT
27	49139	"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!"""	0.19524587948883784	NOT
28	76669	@USER *coffee spit* Spartacus moment?  He never saw the film...	0.19083253793687197	NOT
29	58995	@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!	0.30763681866576703	NOT
30	88490	#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL	0.1950219830039897	NOT
31	77101	@USER 'Fellow Democrats don't want @USER 🦅🇺🇸 @USER to do well.. it's not about what's best for America. It's purely politics' - Dov Hikind, Democratic NY Assemblyman URL	0.09950135237066515	NOT
32	86917	#osho #quotes via @USER Listen to your being. It is continuously giving you hints. It is a still, small voice. It does not shout at you, that is true. And if you are a little silent you will start feeling your way. Be the person you are. Never try… URL URL	0.08214015722812429	NOT
33	78472	#YYC @USER  looking hockey players of all ages/abilities for our Humboldt Tribute game Sunday 9/16. Arrive 2pm, dress, participate in our opening ceremony. Contact lindsay.clothier@USER if you are interested! #WePlayForThem #HumboldtStrong #HockeyIsFamily #GoNucks	0.10671739039967723	NOT
34	17798	#Conservatives #Brexit putting #Britain last.  Sending a chill down the spine of the #UK.	0.10938858617685585	NOT
35	71873	#Gamers go follow @USER on #Twitter and #twitch He is playing with @USER on #BlackOps4 #Blackout Please help and support them both on Twitter and twitch. Remember all #SupportForSupport and #SupportAllStreamers URL	0.09816459494542917	NOT
36	30247	#QuickTip: Find people already working in a company, or within the industry that you are interested in.  We know a lot of people! Send us your resume to info@USER or message us RIGHT NOW URL URL	0.04301661290452121	NOT
37	81150	#LiberalLogic If #Liberals get their way..... URL	0.11119046095867861	NOT
38	46444	#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.	0.5602916547714584	OFF
